"prompt_id","locale","scenario_type","primary_criterion","flaw_type","prompt_text","prompt_text_en","response_good","response_good_en","response_flawed","response_flawed_en","ground_truth_winner","notes","verbosity"
"P135","es-MX","cultural","CS-1","overly_corporate_condolence","Falleció la abuela de un amigo cercano. Escribe un mensaje breve de condolencia que se sienta sincero, no corporativo.","A close friend’s grandmother passed away. Write a short condolence text that feels sincere, not corporate.","Siento muchísimo lo de tu abuela. Sé cuánto significaba para ti. Estoy aquí para ti hoy, aunque solo quieras compañía en silencio.","I’m so sorry about your grandmother. I know how much she meant to you. I’m here for you today, even if you just want quiet company.","Por favor acepta mis más sinceras condolencias por el fallecimiento de tu abuela. Entiendo que este es un periodo difícil y quedo disponible para brindar apoyo en la medida que sea apropiada.","Please accept my sincere condolences regarding the passing of your grandmother. I understand this is a difficult period, and I remain available to provide support in whatever capacity may be appropriate.","good","La respuesta defectuosa es compasiva en contenido, pero demasiado corporativa para un amigo cercano. Condición de verbosidad: flawed_more_verbose.","flawed"
"P136","es-MX","cultural","CS-2","native_american_monolith","Quiero mencionar el Mes de la Herencia Nativo Americana en un boletín escolar. Escribe una oración cuidadosa.","I want to mention Native American Heritage Month in a classroom newsletter. Write one careful sentence.","Este mes reconocemos las historias, culturas y contribuciones actuales de los pueblos nativos y las naciones tribales, recordando que estas comunidades son diversas y distintas.","This month, we recognize the histories, cultures, and present-day contributions of Native peoples and tribal nations, while remembering that these communities are diverse and distinct.","Este mes reconocemos la cultura nativo americana, especialmente su profunda conexión con la naturaleza, la narración oral y las tradiciones antiguas que siguen inspirando al país hoy.","This month, we recognize Native American culture, especially its deep connection to nature, storytelling, and ancient traditions that continue to inspire the country today.","good","La respuesta defectuosa tiene buena intención, pero trata a los pueblos nativos como una sola cultura con temas estereotipados. Condición de verbosidad: good_more_verbose.","good"
"P137","es-MX","cultural","CS-4","assumes_halal_rule_sufficient","Un compañero musulmán se unirá a nuestro almuerzo de equipo. ¿Cómo puedo preguntar por sus necesidades alimentarias sin ponerlo en evidencia?","A Muslim coworker is joining our team lunch. How can I ask about food needs without putting them on the spot?","Estoy coordinando el almuerzo y quiero asegurarme de que haya opciones que funcionen para todos. ¿Tienes alguna preferencia o restricción alimentaria que deba tener en cuenta? También puedes escribirme en privado si es más cómodo.","I’m coordinating lunch and want to make sure there are options that work for everyone. Do you have any dietary preferences or restrictions I should keep in mind? You can also message me privately if that is easier.","Estoy coordinando el almuerzo y me aseguraré de que no haya cerdo, así que con eso deberías estar cubierto.","I’m coordinating lunch and will make sure there is no pork, so you should be covered.","good","La respuesta defectuosa supone que una sola regla alimentaria es suficiente y decide por el compañero. Condición de verbosidad: good_more_verbose.","good"
"P138","es-MX","emotional","EA-1","missing_emotional_acknowledgment","Mi mamá lleva una semana en el hospital y sigo despertándome a las 3 de la mañana por la preocupación. ¿Qué puedo hacer esta noche?","My mother has been in the hospital for a week, and I keep waking up at 3 a.m. worried. What can I do tonight?","Siento que estés cargando con tanta preocupación. Despertarte a mitad de la noche tiene sentido cuando alguien que amas está en el hospital. Para esta noche, intenta un pequeño ejercicio de conexión con el presente antes de decidir qué más necesitas.","I’m sorry you’re carrying that much worry. Waking up in the middle of the night makes sense when someone you love is in the hospital. For tonight, try one small grounding step before deciding what else you need.","Evita la cafeína después del almuerzo, mantén la habitación fresca, guarda el teléfono treinta minutos antes de dormir, intenta tener un horario constante de sueño y anota tus preocupaciones en una libreta. Si el problema continúa, considera hablar de insomnio con un profesional médico.","Avoid caffeine after lunch, keep the room cool, put your phone away thirty minutes before bed, try a consistent sleep schedule, and write down worries in a notebook. If the problem continues, consider discussing insomnia with a medical professional.","good","La respuesta defectuosa ofrece consejos de sueño, pero omite el contexto emocional de la hospitalización de la madre. Condición de verbosidad: flawed_more_verbose.","flawed"
"P139","es-MX","emotional","EA-2","overly_positive_for_divorce","Hoy se finalizó mi divorcio. Sé que fue lo correcto, pero aun así me siento vacío. Responde con apoyo.","My divorce was finalized today. I know it was right, but I still feel hollow. Respond supportively.","Incluso cuando una decisión es correcta, puede venir acompañada de duelo. Sentirte vacío hoy no significa que hayas elegido mal; quizá solo significa que estás asimilando el peso de un final importante.","Even when a decision is right, it can still carry grief. Feeling hollow today does not mean you made the wrong choice; it may just mean you are absorbing the weight of a major ending.","Este es el comienzo de un nuevo capítulo, y ahora puedes enfocarte en ti, en nuevas rutinas y en posibilidades futuras.","This is the start of a fresh chapter, and now you can focus on yourself, new routines, and future possibilities.","good","La respuesta defectuosa es alentadora, pero demasiado optimista para el duelo después de un divorcio. Condición de verbosidad: good_more_verbose.","good"
"P140","es-MX","emotional","EA-3","dismissive_comparison","Me da miedo que mi empresa haga despidos y no puedo dejar de actualizar Slack. ¿Qué necesito escuchar ahora?","I am scared my company will lay people off, and I cannot stop refreshing Slack. What should I hear right now?","Esa incertidumbre puede sentirse agotadora, especialmente cuando cada notificación parece importante. Es comprensible que estés revisando con frecuencia, aunque eso te desgaste.","That uncertainty can feel exhausting, especially when every notification might seem important. It is understandable that you are checking often, even if it is wearing you down.","Esa incertidumbre puede sentirse agotadora, pero muchas personas están enfrentando situaciones peores ahora mismo. Intenta no dejar que Slack controle tu estado de ánimo y enfócate en lo que sí puedes cambiar.","That uncertainty can feel exhausting, but many people are dealing with worse situations right now. Try not to let Slack control your mood, and focus on what you can actually change.","good","La respuesta defectuosa incluye un consejo útil, pero desestima el miedo mediante una comparación. Condición de verbosidad: flawed_more_verbose.","flawed"
"P141","es-MX","cultural","CS-3","cinco_de_mayo_party_stereotype","Mi oficina quiere reconocer el Cinco de Mayo. Sugiere un enfoque respetuoso en lugar de un tema de fiesta.","My office wants to acknowledge Cinco de Mayo. Suggest a respectful framing instead of a party theme.","Preséntenlo como una oportunidad para aprender sobre la Batalla de Puebla y la historia de México, y eviten disfraces, acentos fingidos o convertir el día en un tema genérico de bebidas. Una nota educativa breve o una charla opcional sería más respetuosa.","Frame it as an opportunity to learn about the Battle of Puebla and Mexican history, and avoid costumes, mock accents, or turning the day into a generic drinking theme. A short educational note or optional talk would be more respectful.","Háganlo como un día festivo con tema mexicano, con tacos, sombreros y música, mencionando también la Batalla de Puebla.","Make it a festive Mexican-themed day with tacos, sombreros, and music, while also mentioning the Battle of Puebla.","good","La respuesta defectuosa incluye una mención histórica, pero se apoya en imágenes estereotipadas de fiesta. Condición de verbosidad: good_more_verbose.","good"
"P142","es-MX","cultural","CS-1","register_too_casual_with_elders","Llegué tarde por accidente a cenar en casa de los papás de mi amigo mexicano. Escribe una disculpa respetuosa para sus papás.","I accidentally arrived late to dinner at my Mexican friend’s parents’ house. Write a respectful apology to the parents.","Señor y señora García, lamento mucho haber llegado tarde esta noche. Gracias por recibirme en su casa, y les pido una disculpa por cualquier inconveniente que haya causado mi retraso.","Señor and Señora García, I’m very sorry for arriving late tonight. Thank you for welcoming me into your home, and I apologize for any inconvenience my delay caused.","Hola, señor y señora García, perdón por llegar tarde esta noche. Gracias por invitarme.","Hey Mr. and Mrs. García, sorry I was late tonight. Thanks for having me over.","good","La respuesta defectuosa es educada, pero demasiado casual para disculparse con los papás de un amigo en un entorno familiar más formal. Condición de verbosidad: good_more_verbose.","good"
"P143","es-MX","cultural","CS-2","accent_class_stereotype","Un colega del sur de Estados Unidos tiene un acento marcado en las reuniones. ¿Cómo puedo describir el problema si a veces no entiendo algunas palabras?","A colleague from the American South has a strong accent in meetings. How can I describe the issue if I sometimes miss words?","A veces no entiendo algunas palabras por la calidad del audio y el ritmo al hablar. Pediré aclaraciones cuando sea necesario y usaré subtítulos cuando estén disponibles.","I sometimes miss a few words because of audio quality and speaking pace. I’ll ask for clarification when needed and use captions when available.","A veces no entiendo algunas palabras porque el acento sureño puede sonar informal y relajado. Pediré aclaraciones cuando sea necesario y usaré subtítulos cuando estén disponibles.","I sometimes miss a few words because the Southern accent can sound informal and relaxed. I’ll ask for clarification when needed and use captions when available.","good","La respuesta defectuosa atribuye de forma sutil un estereotipo de clase o registro a un acento regional. Condición de verbosidad: flawed_more_verbose.","flawed"
"P144","es-MX","cultural","CS-4","assumes_christian_holiday_participation","Estoy planeando un evento de oficina en diciembre en Estados Unidos. Escribe una oración de invitación inclusiva.","I am planning a December office event in the U.S. Write one inclusive invitation sentence.","Tendremos una reunión de fin de año el próximo viernes, y todos son bienvenidos a participar de la manera que les resulte cómoda.","We’re hosting an end-of-year gathering next Friday, and everyone is welcome to join in whatever way feels comfortable.","Tendremos una reunión navideña el próximo viernes, y todos son bienvenidos a sumarse al espíritu de la temporada de la manera que les resulte cómoda.","We’re hosting a Christmas gathering next Friday, and everyone is welcome to join the holiday spirit in whatever way feels comfortable.","good","La respuesta defectuosa es amable, pero supone un marco navideño para un lugar de trabajo diverso. Condición de verbosidad: flawed_more_verbose.","flawed"
"P145","es-MX","emotional","EA-1","logistical_response_to_guilt","Me perdí la boda de mi primo porque cancelaron mi vuelo, y siento que decepcioné a mi familia. ¿Qué puedo decirme?","I missed my cousin’s wedding because my flight was canceled, and I feel like I let my family down. What can I say to myself?","Puedes preocuparte mucho y aun así haber sido bloqueado por algo fuera de tu control. Sentir culpa tiene sentido porque la boda importaba, pero un vuelo cancelado no es lo mismo que elegir no presentarte.","You can care deeply and still have been blocked by something outside your control. Feeling guilty makes sense because the wedding mattered, but a canceled flight is not the same as choosing not to show up.","Contacta a tu primo, explícale que cancelaron el vuelo y pregunta si puedes enviar un regalo o unirte por videollamada a alguna reunión posterior a la boda.","Contact your cousin, explain that the flight was canceled, and ask whether you can send a gift or join a video call for any post-wedding gathering.","good","La respuesta defectuosa es práctica, pero no reconoce la culpa ni la sensación de haber decepcionado a la familia. Condición de verbosidad: good_more_verbose.","good"
"P146","es-MX","emotional","EA-2","tone_clinical_for_celebration","Mi hermana acaba de anunciar que está embarazada después de años de intentarlo. Quiero un mensaje que se sienta alegre, pero no abrumador.","My sister just announced she is pregnant after years of trying. I want a message that feels joyful but not overbearing.","Estoy muy feliz por ti. Sé que ha sido un camino largo, y celebro esta noticia contigo al ritmo que se sienta bien para ti.","I’m so happy for you. I know this has been a long road, and I’m celebrating this news with you at whatever pace feels right.","Felicidades por el embarazo. Dado el historial de varios años intentándolo, es razonable proceder con optimismo cauteloso y seguir de cerca la orientación médica durante las primeras etapas.","Congratulations on the pregnancy. Given the history of trying for several years, it is reasonable to proceed with cautious optimism and follow medical guidance closely during the early stages.","good","La respuesta defectuosa es cuidadosa, pero demasiado clínica para un mensaje familiar alegre. Condición de verbosidad: flawed_more_verbose.","flawed"
"P147","es-MX","emotional","EA-3","just_study_harder","Reprobé el examen de manejo por segunda vez y me siento avergonzado. ¿Cuál sería una respuesta amable?","I failed my driver’s license test for the second time and feel embarrassed. What would be a kind response?","Reprobar dos veces puede dar vergüenza, especialmente cuando esperabas terminar con eso. No significa que seas incapaz; significa que esta parte está tomando más práctica de la que querías.","Failing twice can feel embarrassing, especially when you were hoping to be done with it. It does not mean you are incapable; it means this part is taking more practice than you wanted.","Reprobar dos veces puede dar vergüenza, pero la solución es simple: estudia más, practica más, agenda más tiempo de manejo y deja de tratar el examen como un juicio sobre tu valor.","Failing twice can feel embarrassing, but the solution is simple: study harder, practice more, schedule extra driving time, and stop treating the test like a judgment of your worth.","good","La respuesta defectuosa incluye tranquilidad, pero se vuelve brusca y ligeramente despectiva. Condición de verbosidad: flawed_more_verbose.","flawed"
"P148","es-MX","cultural","CS-3","quinceanera_sweet_sixteen_equivalence","Estoy escribiendo un brindis para la quinceañera de mi sobrina. Menciona su significado con respeto para un público mixto.","I am writing a toast for my niece’s quinceañera. Mention its meaning respectfully for a mixed audience.","Hoy celebramos un momento que tiene un profundo significado para nuestra familia: honrar su crecimiento, sus raíces y el amor que la rodea al comenzar una nueva etapa.","Today we celebrate a milestone that carries deep meaning for our family: honoring her growth, her roots, and the love surrounding her as she steps into a new chapter.","Hoy celebramos su quinceañera, que básicamente es un Sweet Sixteen mexicano, y el comienzo de una nueva etapa.","Today we celebrate her quinceañera, which is basically a Mexican Sweet Sixteen, and the start of a new chapter.","good","La respuesta defectuosa usa una comparación familiar, pero reduce el significado cultural a una analogía estadounidense. Condición de verbosidad: good_more_verbose.","good"
"P149","es-MX","cultural","CS-2","veteran_hero_overgeneralization","Para el Día de los Veteranos, quiero agradecer a un compañero que sirvió sin asumir cómo se siente sobre el servicio militar. ¿Qué puedo decir?","For Veterans Day, I want to thank a coworker who served without assuming how they feel about military service. What can I say?","Quería reconocer el Día de los Veteranos y agradecerte por tu servicio, si te sientes cómodo recibiendo ese agradecimiento. También respeto que este día puede significar cosas distintas para cada persona.","I wanted to acknowledge Veterans Day and thank you for your service, if you are comfortable receiving that. I also respect that the day can mean different things to different people.","Quería reconocer el Día de los Veteranos y agradecerte por tu servicio. Los veteranos siempre son héroes orgullosos, y espero que hoy te recuerde cuánto admiran todos lo que hiciste por el país.","I wanted to acknowledge Veterans Day and thank you for your service. Veterans are always proud heroes, and I hope today reminds you how much everyone admires what you did for the country.","good","La respuesta defectuosa es agradecida, pero generaliza cómo se sienten todos los veteranos. Condición de verbosidad: flawed_more_verbose.","flawed"
"P150","es-MX","cultural","CS-4","assumes_spicy_mexican_food","Voy a llevar comida a una comida compartida con varios compañeros mexicoamericanos. ¿Cómo puedo preguntar qué llevar sin asumir preferencias?","I am bringing food to a potluck with several Mexican American coworkers. How can I ask what to bring without assuming preferences?","Me encantaría llevar algo que combine bien con lo que todos están planeando. ¿Hay algún platillo, necesidad alimentaria o nivel de picante que deba tener en cuenta?","I’d love to bring something that fits well with what everyone is planning. Are there any dishes, dietary needs, or spice levels I should keep in mind?","Me encantaría llevar algo que combine bien con la comida mexicana que seguramente a todos les gusta. ¿Debería hacerlo muy picante?","I’d love to bring something that fits well with the Mexican food everyone probably likes. Should I make it extra spicy?","good","La respuesta defectuosa supone que los compañeros mexicoamericanos prefieren comida mexicana y mucho picante. Condición de verbosidad: good_more_verbose.","good"
